step,time,ground_x,ground_y,ground_th,est_x,est_y,est_th
67,0.11093544960021973,1.0101,0.089531,0.0,2.4000254143890833,2.1805767445030555,-2.366980460711322
68,0.11242532730102539,1.0101,0.090031,0.0,2.4025838660330856,2.1784219127117495,-2.357375582706034
69,0.11427736282348633,1.0101,0.090531,0.0,2.3969376290145035,2.178035406824451,-2.3552778325738117
70,0.11689448356628418,1.0101,0.091032,0.0,2.3856910152041984,2.173495424845705,-2.359854649422678
71,0.12016105651855469,1.0101,0.091532,0.0,2.3735250127366325,2.179465067431832,-2.3610571505917366
72,0.12406110763549805,1.0101,0.092033,0.0,2.3712344006763226,2.179300747519293,-2.369298803047728
73,0.12650561332702637,1.0101,0.092533,0.0,2.3861965680044124,2.184425523823516,-2.3578754510988307
74,0.12909889221191406,1.0101,0.093034,0.0,2.395727738406737,2.1814967449640257,-2.3518727331763083
75,0.1315164566040039,1.0101,0.093534,0.0,2.400947555504765,2.1846469000604545,-2.352523552084915
76,0.1343061923980713,1.0101,0.094035,0.0,2.392495555423511,2.193477168337798,-2.3408182470583054
77,0.1367337703704834,1.0101,0.094535,0.0,2.3930828043505623,2.189794491663554,-2.3481428639139676
78,0.139113187789917,1.0101,0.095036,0.0,2.3934026177919994,2.1989671114192686,-2.356127863342303
79,0.1416335105895996,1.0101,0.095536,0.0,2.3884940871028584,2.2034118394023587,-2.3506664927510497
80,0.1433730125427246,1.0101,0.096036,0.0,2.394623024603907,2.197666580623643,-2.360535290882368
81,0.1449441909790039,1.0101,0.096537,0.0,2.3943190318168246,2.202961109439936,-2.360979652624709
82,0.1464672088623047,1.0101,0.097037,0.0,2.3931403077409645,2.198822783857451,-2.3668739373297667
83,0.14798521995544434,1.0101,0.097538,0.0,2.3868403036262773,2.1997737013681817,-2.375196320757875
84,0.1494755744934082,1.0101,0.098038,0.0,2.3855333762211828,2.20166472645614,-2.3639728493712395
85,0.1509866714477539,1.0101,0.098539,0.0,2.3868643553616646,2.203989902893259,-2.34607403795853
86,0.15247249603271484,1.0101,0.099039,0.0,2.3901899039355654,2.207289387954872,-2.3524679226552396
87,0.15398001670837402,1.0101,0.09954,0.0,2.390156735549383,2.1999297002764897,-2.3458654407390243
88,0.15546965599060059,1.0101,0.10004,0.0,2.3912762343969662,2.19675777737447,-2.355632197013258
89,0.15696263313293457,1.0101,0.10054,0.0,2.38684495765194,2.200184278881542,-2.3603464325661303
90,0.15845084190368652,1.0101,0.10104,0.0,2.384499896791591,2.198473734112586,-2.3557724553183297
91,0.15999984741210938,1.0101,0.10154,0.0,2.383924269788241,2.1974488713485116,-2.3658374594347475
92,0.1614978313446045,1.0101,0.10204,0.0,2.388373404530924,2.1955792901355524,-2.3695237952311023
93,0.16303253173828125,1.0101,0.10254,0.0,2.393984759590645,2.193783168763411,-2.3591422865637504
94,0.16452479362487793,1.0101,0.10304,0.0,2.400163069806413,2.198579652475206,-2.3568015824757276
95,0.16602778434753418,1.0101,0.10354,0.0,2.404208923214979,2.1951429704239396,-2.362830925994044
96,0.16751432418823242,1.0101,0.10404,0.0,2.406516404300653,2.200258686505461,-2.3665545354243376
97,0.1690363883972168,1.0101,0.10454,0.0,2.4093973375895463,2.2007588202376978,-2.358115416830658
98,0.17052507400512695,1.0101,0.10504,0.0,2.4193648445296767,2.202424434673628,-2.349116856601246
99,0.1720266342163086,1.0101,0.10555,0.0,2.415812716550562,2.1957423255654405,-2.3522881688337742
100,0.1738889217376709,1.0101,0.10605,0.0,2.413383786318124,2.199369057332165,-2.3493989756120066
101,0.17577242851257324,1.0101,0.10655,0.0,2.4041574716101803,2.1929359852162724,-2.361317042791748
102,0.17746448516845703,1.0101,0.10705,0.0,2.4048340077374277,2.194173688967408,-2.359920208826684
103,0.1792738437652588,1.0101,0.10755,0.0,2.4049600872490378,2.1917967142458554,-2.360120305403645
104,0.18135452270507812,1.0101,0.10805,0.0,2.4221521909133132,2.1977681290191398,-2.3416099666949814
105,0.18289828300476074,1.0101,0.10855,0.0,2.4025914247692928,2.19477967975676,-2.3563535454799687
106,0.18440747261047363,1.0101,0.10905,0.0,2.395243967723282,2.1992918848278125,-2.3626755849013565
107,0.18592476844787598,1.0101,0.10955,0.0,2.3957397017691653,2.199048270589814,-2.354071378902318
108,0.18741631507873535,1.0101,0.11005,0.0,2.388576369139937,2.202381139104764,-2.3633549437985395
109,0.18891620635986328,1.0101,0.11055,0.0,2.3914740948186,2.204174982074626,-2.3602985417161118
110,0.19040679931640625,1.0101,0.11105,0.0,2.390233682569641,2.1979781392997966,-2.3541648665629022
